Blog	business	friends	photo	small	companies	online	makes	another	support	talking	whether	should	back	ways	high	he	thing	getting	off	into	opportunity	his	tips	making	use	keep	better	asked	me	interview	questions	state	well	d	amp	media	started	video	using	top	following	com	b	reasons	web	money	website	thanks	our	site	there	great	here	least	which	being	re	because	others	few	ask	question	recently	ve	stuff	soon	youtube	c	hope	things	us	any	love	please	don	where	conversation	story	day	something	why	director	called	other	week	her	name	team	months	ago	really	thought	kind	never	answer	myself	let	see	favorite	she	nothing	much	come	happened	almost	every	got	office	took	wanted	even	once	month	everyone	had	take	place	no	who	knew	would	wrote	email	while	think	going	means	learn	just	work	real	time	around	made	easy	head	need	point	do	away	bit	press	make	sure	also	want	give	fun	during	takes	long	co	might	year	find	way	together	lot	events	happy	hour	same	talk	only	know	company	else	did	look	own	may	working	hard	personal	fact	try	important	isn	big	true	enough	close	article	write	along	feel	free	share	too	always	say	itself	america	wasn	third	family	used	its	today	idea	seems	than	ever	episode	different	ones	released	instead	president	tell	e	taking	three	face	next	found	old	best	m	very	good	successful	shows	running	far	each	create	many	days	sometimes	less	course	writing	already	under	games	movie	short	show	done	yet	spent	four	start	second	could	these	probably	were	stop	world	design	through	life	phone	camera	finally	looks	ll	videos	friend	then	didn	does	quickly	doing	latest	run	product	learning	system	track	feature	iphone	available	app	store	clear	especially	before	notes	left	add	tools	line	save	them	apple	features	photos	example	special	links	project	via	behind	won	coming	version	interesting	seeing	search	since	told	update	go	page	right	results	looking	information	security	someone	report	morning	am	down	until	ideas	twitter	mobile	check	word	simple	th	software	still	help	minutes	facebook	both	users	read	recent	experience	change	forward	past	years	such	those	account	actually	turn	party	blog	community	become	trying	matter	live	little	harassment	hours	building	social	open	two	part	hands	between	internet	build	chris	cover	reading	include	post	book	seem	deal	rules	times	comes	thinking	level	doesn	must	cost	often	perhaps	case	art	including	sexual	last	mean	saying	center	understand	david	problem	full	group	side	call	bad	room	likely	number	without	anyone	worth	needs	friday	though	mueller	according	said	city	end	five	went	white	house	early	him	news	election	continue	night	u	government	john	pretty	put	maybe	later	self	quite	car	bill	o	women	mark	game	trump	view	mdash	october	wrong	campaign	set	amazon	appeared	future	original	google	data	cool	content	technology	large	public	again	ad	guy	man	list	service	san	nbsp	words	sound	tech	says	based	x	home	screen	device	smart	hand	hit	play	within	against	everything	research	per	seen	former	series	american	russia	intelligence	development	key	york	music	created	order	computer	stranger	k	tv	million	cars	came	watch	network	stories	half	halloween	power	remember	donald	buy	price	known
Signal v. Noise - Medium	9	3	1	6	7	4	3	6	7	2	3	12	7	3	3	3	6	13	6	12	3	5	3	12	7	4	24	3	20	3	3	2	5	19	2	7	6	1	3	3	1	12	7	3	2	2	3	4	36	2	17	12	21	1	6	6	25	6	5	11	10	9	5	21	4	1	7	6	5	17	10	5	5	10	9	17	13	12	18	9	7	4	1	9	5	15	3	21	3	5	4	11	3	4	6	3	8	16	2	16	1	7	2	1	1	6	7	4	2	2	13	2	2	15	8	5	4	13	16	4	13	3	8	2	13	6	4	1	26	12	1	15	11	7	2	1	6	5	31	6	3	1	8	8	15	6	4	2	3	3	2	1	5	3	5	12	5	4	4	3	1	2	8	8	10	38	2	2	5	3	5	5	2	3	1	2	7	7	5	2	2	1	1	1	1	13	7	11	4	9	8	2	1	3	2	1	1	5	11	3	1	7	4	7	2	2	3	4	1	1	3	1	3	3	5	3	1	9	8	4	3	2	2	1	2	8	5	6	4	5	1	2	3	3	1	1	1	1	5	3	6	3	1	5	4	7	5	2	5	4	2	3	3	4	2	2	1	2	6	3	3	7	4	2	3	6	5	2	3	3	1	1	5	1	4	3	1	3	3	4	2	1	3	1	1	2	11	1	4	1	5	1	1	4	2	1	1	2	2	1	2	8	2	2	1	2	1	2	2	5	4	1	13	1	1	1	1	2	2	2	6	3	3	1	1	2	1	8	1	1	3	2	4	1	2	1	2	2	2	2	8	2	4	1	2	1	4	5	2	2	1	1	2	3	2	2	3	1	4	1	2	1	1	2	2	1	1	2	1	2	1	1	1	2	2	3	3	1	1	4	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eschaton	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	9	1	0	2	4	0	3	0	0	0	0	0	0	2	0	0	1	1	1	0	1	0	0	0	1	0	1	0	1	0	2	0	0	0	0	3	1	1	0	6	3	3	1	3	1	0	0	0	0	0	1	0	0	0	7	1	1	0	2	4	0	0	2	2	1	0	0	0	2	0	1	0	0	2	0	1	2	0	0	0	0	1	1	0	3	0	0	0	0	0	2	0	0	0	0	6	0	0	0	2	2	0	3	7	0	1	0	0	2	0	2	0	0	5	3	1	1	0	0	0	1	1	0	2	1	2	0	1	2	0	1	2	0	2	0	0	1	1	3	0	1	0	1	0	2	1	1	1	1	2	0	0	4	0	0	3	0	1	0	0	0	1	4	2	2	1	0	0	0	0	1	0	0	1	0	4	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	1	0	0	0	3	0	2	0	0	1	0	0	0	0	1	0	2	2	0	2	3	0	0	0	0	0	1	0	0	0	0	1	2	0	4	1	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	2	0	2	0	0	0	0	2	0	0	0	1	1	0	0	0	0	3	2	1	2	0	0	0	1	0	3	0	2	0	0	0	0	0	1	3	2	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	6	0	1	0	0	0	1	0	1	0	3	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	3	0	3	0	1	0	0	0	0	1	1	1	1	3	0	1	0	2	0	0	0	0	2	0	0	3	1	1	3	3	1	1	2	1	1	2	1	2	2	2	1	3	2	1	1	1	1	1	2	1	1	1	1	1	4	2	1	1	1	2	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
John Battelle's Search Blog	0	0	0	1	1	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	3	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	6	0	1	0	1	1	1	2	0	1	3	1	0	0	0	0	1	1	0	0	0	0	0	3	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	4	1	0	0	2	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	1	2	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4	3	0	2	0	0	0	0	1	0	0	0	1	3	7	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	1	0	1	5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	20	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	20	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	4	0	0	0	0	0	21	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	7	1	0	0	0	0	0	0	0	1	0	0	20	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	8	20	1	1	4	5	1	1	1	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guy Kawasaki	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	1	0	0	0	1	3	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	3	1	0	0	1	0	0	0	6	0	0	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	4	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	2	2	1	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	12	1	3	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Google Blogoscoped	0	1	1	1	0	1	1	2	0	0	1	0	3	0	0	2	1	0	0	3	0	1	0	0	3	0	0	1	4	0	2	0	2	2	0	0	0	0	4	1	0	0	4	0	4	0	1	1	3	4	5	0	2	0	5	0	5	5	1	1	0	4	0	4	1	0	0	0	0	1	1	3	2	0	4	1	0	0	3	2	0	0	1	4	0	0	2	0	0	1	0	0	0	1	3	0	2	4	0	0	0	4	1	0	0	1	0	0	1	0	4	1	0	0	3	1	2	6	5	0	11	0	0	1	0	2	0	0	6	1	0	4	2	2	1	0	2	0	3	0	0	1	3	0	2	2	0	1	0	0	1	0	0	0	3	1	1	0	0	0	0	1	0	2	2	0	2	1	1	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	0	2	2	0	0	0	0	1	0	2	1	1	3	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	4	2	1	0	0	0	0	0	3	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	1	1	1	2	1	0	1	1	1	0	4	0	0	0	6	0	0	3	0	0	1	2	0	1	0	0	0	0	2	1	0	4	2	0	1	0	0	1	3	0	0	0	4	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	1	0	2	1	0	3	1	2	0	0	1	0	0	0	1	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	2	7	1	0	0	1	1	5	0	1	0	0	0	3	0	0	2	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	2	0	2	0	1	1	0	1	0	0	1	0	28	0	0	0	1	0	0	0	0	0	0	1	6	0	0	0	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RSS feed ¨C Search Engine Watch	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	2	1	1	0	5	0	1	0	2	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	12	1	0	15	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blog News	1	1	1	0	0	1	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	3	1	0	0	0	1	0	0	0	1	1	1	0	0	3	2	4	0	1	0	3	0	0	1	0	1	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	2	1	0	2	0	1	1	1	10	0	0	0	1	0	1	0	0	0	0	0	1	3	3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	3	0	2	2	0	1	0	1	0	2	0	0	0	4	1	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	1	0	0	2	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	5	1	0	1	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	1	2	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	2	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	8	0	0	0	0	1	2	3	1	1	3	0	0	0	0	0	0	0	1	0	0	0	2	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	1	0	3	0	1	0	3	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC News: Investigative Unit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gigaom	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://gizmodo.com/index.xml	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
